基礎科学実験,kisokagakujikkenn
不確かさ,futasikasa
ヤング率,yanguritu
電気回路,denkikairo
クントの方法,kuntonohouhou
共鳴振動数,kyoumeisindousuu
剛体の運動,goutainoundou
光電効果,koudenkouka
エアトラック,eatorakku
粘性率,nenseiritu
プランク定数,purankuteisuu
インピーダンス,inpi-dansu
分子量,bunsiryou
反応速度,hannnousokudo
比色,hisyoku
合成アスピリン,gouseiasupirinn
ピクノメーター,pikunome-ta-
見かけの質量,mikakenosituryou
基底状態,kiteijoutai
共役分子,kyouyakubunsi
共役二重結合,kyouyakunijuuketugou
軌道エネルギー,kidouenerugi-
電子遷移エネルギー,densisennienerugi-
吸収極大,kyuusyuukyokudai
滴定量,tekiteiryou
原子間距離,gensikankyori
写像,syazou
光電管,koudenkann
仕事関数,sigotokansuu
謁見,ekkenn
びっけん,bikkenn
基礎の初歩,kisonosyoho
講評,kouhyou
D棟,dtou
重力加速度,zyuuryokukasokudo
阻止電圧,sosidennatu
最小二乗法,saisyounizyouhou
光のスペクトル,hikarinosupekutoru
放射線,housyasenn
